"","state","year","avg_TSO4","avg_TNO3","avg_TNH4","avg_NSO4","avg_NHNO3","avg_WSO2","avg_WNO3","avg_SO2","avg_NO3","avg_FLOW_VOLUME"
"576","OH","2013",2.61292337662338,1.3494538961039,1.14979155844156,1.00972857142857,1.13336103896104,2.37780909090909,NA,3.0512961038961,2.46479545454545,15.125611038961
"577","OH","2014",2.37820986842105,1.33736447368421,1.07332960526316,0.860708552631579,1.0749,2.67628947368421,NA,3.25038092105263,2.39516973684211,14.8689927631579
"578","OH","2015",1.93884563758389,1.18695906040268,0.87061677852349,0.811325503355705,1.08688053691275,1.55566644295302,NA,2.09682684563758,2.25655570469799,14.717214
"579","OH","2016",1.52513933333333,1.04094133333333,0.720289333333333,0.594091333333333,1.032924,0.822673333333333,NA,1.218926,2.05743466666667,15.0879357615894
"580","OH","2017",1.3750625,1.01619078947368,0.650288157894737,0.475951315789474,0.901964473684211,0.726827631578947,NA,1.04428026315789,1.90381776315789,15.1665657894737
"581","OH","2018",1.31568235294118,1.25361437908497,0.719948366013072,0.408780392156863,0.831286274509804,0.569865359477124,NA,0.842518954248366,2.07168692810458,14.9579123376623
"582","OH","2019",1.2831,1.85376666666667,0.865366666666667,0.343233333333333,0.493766666666667,0.8087,NA,1.03763333333333,2.3397,19.3193333333333
"583","OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584","OK","2002",3.69448974358974,1.20456923076923,1.38288205128205,0.61334358974359,1.42318205128205,1.1368641025641,NA,1.5459641025641,2.60512307692308,15.1345564102564
"585","OK","2003",3.317025,1.58955769230769,1.37809807692308,0.592984615384615,1.45155,1.25403653846154,NA,1.64955384615385,3.01802884615385,14.9084519230769
"586","OK","2004",3.03147692307692,1.55329423076923,1.22044615384615,0.652521153846154,1.19247884615385,1.3159,NA,1.75113653846154,2.72681346153846,15.0863173076923
"587","OK","2005",3.72768269230769,1.40201730769231,1.52851538461538,0.616405769230769,1.34584038461538,1.37792692307692,NA,1.78905576923077,2.72645961538462,14.8718673076923
"588","OK","2006",2.85905714285714,1.29498571428571,1.06441428571429,0.59294693877551,1.2438,1.36766326530612,NA,1.76315714285714,2.51900204081633,15.0500081632653
"589","OK","2007",3.05704897959184,1.1567612244898,1.11089387755102,0.767365306122449,1.17123265306122,0.936691836734694,NA,1.44851632653061,2.30937142857143,14.639693877551
"590","OK","2008",2.71211132075472,1.17588113207547,1.02835283018868,0.565915094339623,1.02525471698113,0.905249056603774,NA,1.28270566037736,2.18482830188679,14.9576943396226
"591","OK","2009",2.33626326530612,1.02890816326531,0.889934693877551,0.483848979591837,0.852602040816327,0.724877551020408,NA,1.04760612244898,1.86794897959184,15.2537346938776
"592","OK","2010",2.36199019607843,1.32093333333333,0.970925490196078,0.511676470588235,0.850143137254902,0.85016862745098,NA,1.19145098039216,2.15755882352941,14.8782803921569
"593","OK","2011",2.38548269230769,1.38853846153846,1.01728461538462,0.515701923076923,1.04932884615385,0.803838461538462,NA,1.14780769230769,2.42118461538462,15.1555634615385
"594","OK","2012",2.026802,1.013022,0.73524,0.492772,1.011734,0.727686,NA,1.056366,2.00868,15.19401
"595","OK","2013",1.99553846153846,1.18632307692308,0.843807692307692,0.488413461538462,0.808942307692308,0.542069230769231,NA,0.867844230769231,1.98239230769231,14.9130622641509
"596","OK","2014",1.84567115384615,1.01953269230769,0.719661538461538,0.403648076923077,0.682590384615385,0.549082692307692,NA,0.818313461538462,1.69128076923077,15.1628846153846
"597","OK","2015",1.51875192307692,0.786609615384615,0.546028846153846,0.368051923076923,0.697117307692308,0.447413461538462,NA,0.692903846153846,1.47265,15.2339480769231
"598","OK","2016",1.46700961538462,0.813709615384615,0.518836538461538,0.354940384615385,0.744663461538462,0.480961538461538,NA,0.717703846153846,1.54652884615385,15.0162153846154
"599","OK","2017",1.48928653846154,0.687255769230769,0.491644230769231,0.314726923076923,0.748613461538462,0.499503846153846,NA,0.709432692307692,1.42396730769231,15.0952096153846
"600","OK","2018",1.22248653846154,0.947290384615385,0.509103846153846,0.219709615384615,0.674825,0.309925,NA,0.456471153846154,1.61139230769231,15.0305653846154
