"","state","year","mortality_rate","aar_mortality","incidence_rate","aar_incidence","avg_NO3","avg_SO2","avg_TSO4","avg_TNH4","avg_CA","avg_K","avg_MG","avg_NA","avg_CL","Female"
"1330","Virginia",2004,0.000449360434783749,42.5,0.000573629306480071,54.3,2.11492123893805,6.1115610619469,3.91334778761062,1.22454513274336,0.13373185840708,0.0510991150442478,0.0279628318584071,0.087953982300885,0.0360991150442478,1
"1331","Virginia",2005,0.00045242240101707,42.5,0.000611857297485329,57.3,2.39973733333333,6.53253933333333,4.765284,1.493732,0.15686,0.0561373333333333,0.0331326666666667,0.100274666666667,0.0353653333333333,1
"1332","Virginia",2006,0.000450559361387754,41.9,0.000601001669449082,56,2.02735850340136,6.11499659863946,4.21767619047619,1.32677755102041,0.165055102040816,0.0553034013605442,0.0322802721088435,0.075052380952381,0.0334394557823129,1
"1333","Virginia",2007,0.000454411208201894,41.6,0.000566874182807045,52.5,2.08724675324675,5.32641948051948,4.16687597402597,1.35148376623377,0.159477922077922,0.052912987012987,0.0376363636363636,0.126988961038961,0.0449006493506494,1
"1334","Virginia",2008,0.000427427241479846,39,0.000603411947356005,54.9,1.80024052287582,4.28869738562091,3.31028823529412,1.0764431372549,0.13983137254902,0.0569993421052632,0.0329,0.110675816993464,0.0432071895424837,1
"1335","Virginia",2009,0.000443547937724978,39.8,0.000631269510475136,56.7,1.28459155844156,2.87770779220779,2.50458181818182,0.855518181818182,0.140791558441558,0.067812987012987,0.0264922077922078,0.0865896103896104,0.0438551948051948,1
"1336","Virginia",2010,0.000425399325871793,38,0.000584495736583338,52.1,1.47224105960265,3.16724304635762,2.66913708609272,0.927945695364238,0.175432450331126,0.0640119205298013,0.0341966887417219,0.0765437086092715,0.0382523178807947,1
"1337","Virginia",2011,0.000426871357950552,37.6,0.000588645900992039,51.7,1.46218775510204,2.44350952380952,2.5631306122449,0.908429931972789,0.143889795918367,0.0570884353741497,0.0323265306122449,0.117185034013605,0.0585489795918367,1
"1338","Virginia",2012,0.000425551740319298,36.7,0.000603505374391872,52,1.40014333333333,1.940256,2.016604,0.731485333333333,0.143516666666667,0.0521906666666667,0.0302673333333333,0.0936913333333333,0.04798,1
"1339","Virginia",2013,0.000422553136116448,35.6,0.00059176505187656,50.1,1.25498967741935,1.77187290322581,1.95751870967742,0.723838709677419,0.122870967741935,0.0511554838709677,0.0289077419354839,0.112332258064516,0.0620638709677419,1
"1340","Virginia",2014,0.000417140052760404,34.6,0.000598247964429933,49.8,1.25658675496689,1.96286556291391,1.84893708609272,0.675994039735099,0.145405298013245,0.0514253333333333,0.0286788079470199,0.0948781456953642,0.0464470198675497,1
"1341","Virginia",2015,0.000405615717832708,32.8,0.000640321968952388,51.8,1.1668974025974,1.40128246753247,1.46949805194805,0.526286363636364,0.136851298701299,0.0508217105263158,0.0318142857142857,0.113469480519481,0.0687285714285714,1
"1342","Virginia",2016,0.000385042108860416,30.7,0.000629643326951075,49.7,1.09959290322581,1.12509225806452,1.1878535483871,0.456208387096774,0.134784516129032,0.0487212903225806,0.0272703225806452,0.0886851612903226,0.0463593548387097,1
"1343","Virginia",2017,0.000386679608723045,29.7,0.000580019413084568,45,1.07319477124183,0.795404575163399,1.05094705882353,0.414718954248366,0.14743137254902,0.0509457516339869,0.0295,0.0970993464052288,0.0583078431372549,1
"1344","Virginia",2018,0.000385361363123187,29.3,0.000604443003456441,45.8,1.0133074829932,0.456250340136054,0.964046258503401,0.393810884353742,0.121686394557823,0.058,0.0270258503401361,0.093056462585034,0.0497734693877551,1
"1345","Virginia",1999,0.000661129849925273,84.3,0.000698150789493399,85,3.03638344370861,6.43559078947368,4.63368741721854,1.38916026490066,NA,NA,NA,NA,NA,0
"1346","Virginia",2000,0.000648580423542236,82.4,0.000686445357601314,83.6,2.93896040268456,6.67661721854305,4.77541476510067,1.52459395973154,0.181520134228188,0.0709543624161074,0.035010067114094,0.108356375838926,NA,0
"1347","Virginia",2001,0.000599777637889417,75.6,0.00065242447160694,78.1,2.68933493150685,6.26759659863946,4.56472857142857,1.45671496598639,0.186201360544218,0.0570530612244898,0.0381714285714286,0.12950612244898,NA,0
"1348","Virginia",2002,0.000638087439248758,79.8,0.000695459336198756,83.5,2.56518721804511,6.07634736842105,4.58126466165414,1.43084210526316,0.157462406015038,0.0538293233082707,0.0297112781954887,0.088106015037594,NA,0
"1349","Virginia",2003,0.00064086277363081,77.8,0.000789926401911561,94.5,2.2132262295082,5.74663223140496,4.22469344262295,1.28140901639344,0.139376229508197,0.0510639344262295,0.0258967213114754,0.0635647540983607,0.0336396551724138,0
"1350","Virginia",2004,0.000622189325274188,75.8,0.00079152970353143,92.9,2.11492123893805,6.1115610619469,3.91334778761062,1.22454513274336,0.13373185840708,0.0510991150442478,0.0279628318584071,0.087953982300885,0.0360991150442478,0
"1351","Virginia",2005,0.000647105569228043,76.9,0.00077097929450682,89.2,2.39973733333333,6.53253933333333,4.765284,1.493732,0.15686,0.0561373333333333,0.0331326666666667,0.100274666666667,0.0353653333333333,0
